FI,SF,NT,PT,EL,MY,SI,IL,AE,RA,EE,LE,FP,GY,EK,YF,SP,RT,VS,SG,VA,EQ,AG,GG,RS,TV,TG,TP,LA,HN,LG,KF,LS,KY,RR,DG,RG,GD,CS,DD,RD,NG,GN,GT,AV,IC,GE,PD,DC,GK,KG,DE,RY,CE,DR,NY,QG,CD,AY,GR,AD,YA,EC,GS,RA,EG,RK,NC,CK,VD,VR,PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
0,0,0.21978022,0,0.043290043,0.680272109,0.152439024,0.056818182,0.205254516,0.098522167,0.170068027,0.12987013,0.347222222,0.140056022,0.079365079,0,0.27100271,0.244897959,0.051894136,0.179340029,0.2567865,0.595238095,0.076064909,0.08650519,0.139372822,0.121580547,0.210084034,0.158730159,0.219435737,0,0.187165775,0.208333333,0.177383592,0,3.286452173,3.55596655,2.145171121,3.274597899,1.125679219,3.668227197,2.382921184,5.035546928,2.833597074,3.843739483,2.514661305,1.14877983,4.024747562,2.416927014,0.254238495,2.213683497,3.325453599,3.786941718,0.640883515,0.992253022,2.348270071,0.751676975,1.171133272,0.299949405,1.822908902,1.884934933,3.317915865,2.6842935,1.523452075,3.877033312,2.273314226,2.69780638,1.840684906,0.119400973,0.16320566,3.476629284,1.735054247,0.438,1.124,1.751,1.744,1.507,0.576,1.794,1.872,0.192,1.838,0.822,1.743,1
0,0,0.162337662,0.865800866,0.378787879,0,0.274348422,0.132275132,0.14781966,0.286944046,0.183654729,0.216450216,0.288600289,0.104166667,0.252525253,0,0.088183422,0.267379679,0.198412698,0.231481481,0.087108014,0,0.228658537,0.09765625,0.108932462,0,0.142045455,0.432900433,0.261324042,0.324675325,0.223214286,0.252525253,0.198412698,0,2.125499033,2.610766118,1.088753682,1.828449128,1.266515342,1.82869337,1.681123631,4.516775607,2.285024482,2.984086449,2.043559758,1.149172933,2.434280478,2.0897289,0.190065457,1.335176604,2.39606114,1.73243935,0.537363598,0.915240002,1.50649256,0.743283511,0.784848145,0.253253555,1.271782477,0.838948243,2.313442321,2.43244562,1.473255026,2.463014156,1.299281121,1.548017322,1.227125314,0.098869766,0.127047154,2.824551809,1.337259506,1.216,1.069,1.758,1.765,2.063,1.105,1.834,1.763,0.295,1.788,0.442,1.755,1
0,0.362318841,0.534759358,0.210084034,0.27173913,0,0,0.869565217,0.25,1,0.1953125,0,0.595238095,0,0.3125,0,0.388198758,0.245098039,0.135869565,0,0.5,0.446428571,0,0.73964497,0.362318841,0.183823529,0.226244344,0.105042017,0.52173913,0,0,0.416666667,0.472589792,0.833333333,1.793107364,2.139897296,0.791140406,2.237019263,0.099107028,2.37837943,0.600499226,1.939296088,1.954647098,2.16687972,1.383798531,0.086752961,2.303521226,2.211850941,0.132108604,2.24176549,2.176892947,2.54574991,0.093580738,0.027708308,0.578097563,0.40268162,1.696444452,0.015477053,0.934642324,1.17882145,1.850535971,0.337242919,0.044347917,2.887938333,0.474491977,2.759097641,1.278066957,0.018825812,0.05119885,1.133331378,0.268877449,0.364,1.882,1.672,1.732,1.517,0.364,1.601,1.615,0,1.632,2.428,1.684,1
0.067934783,0.038109756,0.159489633,0.062656642,0.107204117,0.505050505,0.212089077,0.148221344,0.124131082,0.048732943,0.213599146,0.042881647,0.074404762,0,0.117924528,0,0.174216028,0.097465887,0.103348491,0.22172949,0.156110616,0.043878894,0.079744817,0,0.090334237,0.133809099,0,0.125313283,0.134569378,0,0.137741047,0.130208333,0.055432373,0.252525253,1.344089068,1.563805669,2.125302936,2.33646737,1.169504433,3.047838539,2.616929531,1.589996365,1.71803593,2.321155013,7.217215481,0.597525375,4.158557442,3.41956738,1.299650401,1.986933393,2.160354415,4.286682655,0.810459285,1.086923306,2.693487825,1.790554971,1.521424382,0.135734671,1.538743338,1.580931277,4.345590587,3.296579958,0.909637435,3.305564966,4.30238494,1.825217488,2.795503681,0.977811872,0.53546677,3.702851886,3.951941677,0.782,1.114,1.751,1.777,2.086,0.782,1.726,1.775,0.379,1.843,1.138,1.757,1
0.142857143,0,0.292397661,0.4784689,0.396825397,0.37593985,0,0.163265306,0.111111111,0.222222222,0.308641975,0.396825397,0,0.20242915,0.154320988,0,0.324675325,0.292397661,0.334821429,0.549450549,0.25,0.277777778,0.153846154,0.147928994,0,0,0,0.23923445,0.342857143,0,0,0.138888889,0.306122449,0,0.916778717,1.523792856,1.281383792,1.933234087,0.194243221,0.498911117,1.219545891,1.561787447,0.98973129,0.642636345,3.45753495,0.291407042,1.326338443,1.457746464,0.037596833,2.904943418,1.793714197,1.415158321,2.333958111,0.216695704,1.223379541,0.982329264,0.337141309,0.033308505,0.132694738,1.164072529,1.151164273,0.441750421,0.142498298,1.61244202,1.223472385,2.397308651,1.131899837,0.071103964,0.198110059,0.627036309,3.801060024,0.874,0.75,1.869,1.792,1.457,0.791,1.738,1.655,0.208,1.737,1.499,1.635,1
0.068965517,0.081632653,0.219941349,0.139146568,0.15625,0,0.123152709,0.206896552,0.067934783,0,0.048828125,0.078125,0,0.130208333,0.100806452,0,0.124947938,0.056818182,0.057758953,0.212585034,0.164068909,0.126689189,0.09057971,0.086805556,0.12755102,0.085763293,0,0.278293135,0.202898551,0.153609831,0.166666667,0.193548387,0.112244898,0.151209677,2.131346924,2.153709228,1.354170075,2.453254767,0.96155484,3.049288652,2.173985091,1.732758499,2.077848013,2.127617576,6.063432731,0.999674771,3.606325072,3.1335938,0.804119503,2.754608733,2.710669275,2.910782399,0.839140104,1.381747406,1.996766612,1.02958037,1.766778282,1.33636255,1.976324178,1.902622313,3.356416724,2.56544194,1.649901463,4.860459432,3.11845481,2.784151843,3.762479684,0.396992688,0.69884549,3.543122367,3.260789299,0.516,1.364,1.746,1.825,2.087,0.661,1.836,1.744,0.269,1.702,1.281,1.731,1
0.27173913,0.227272727,0.322580645,0.289855072,0.116550117,0,0,0.131752306,0.238521169,0.290697674,0.394477318,0.194250194,0.815217391,0,0.213675214,0,0.395256917,0.138888889,0.227272727,0,0.363372093,0.213675214,0.136798906,0,0.151515152,0.3125,0,0.434782609,0.070472163,0,0.267379679,0.347222222,0.220385675,0.438596491,2.133351731,1.176865718,1.545548795,2.459057596,0.379325032,2.186241109,1.78351326,1.59825463,1.872308001,1.878305962,2.696925321,1.064838649,1.773373525,1.666276097,0.024740429,1.015054595,2.846516457,1.641621756,1.461765428,0.424403746,0.978826805,0.556840058,1.862643288,0.536366408,0.65229889,1.020406324,2.115735619,0.621835012,0.044962123,2.669158429,1.929788231,1.033423878,1.169521512,0.818772641,0.375922552,1.10023101,1.849136766,0.592,1.147,1.914,1.796,2.48,0.703,1.887,1.79,0.148,1.771,1.332,1.707,1
0,0.253968254,0,0.24691358,0.115207373,0,0.105820106,0.215053763,0.162337662,0,0,0.17281106,0.355555556,0,0.615763547,0.173913043,0.105820106,0,0.128700129,0.122100122,0.184275184,0,0.174825175,0.262984878,0.253968254,0.36036036,0.113960114,0.098765432,0.109970674,0.151515152,0.289495451,0.137931034,0.102406554,0,4.028066946,2.940847936,1.930289006,2.606904263,1.128768105,3.152765108,2.453654177,4.204993238,2.614602976,3.703862095,2.370800973,1.138768885,3.61990422,2.298271535,0.227005121,1.747891778,2.486978974,3.186073922,0.704207697,0.970095511,2.357616149,0.793994257,1.388614622,0.257932114,1.832100909,1.654121812,3.220732134,2.663044829,1.464017592,3.655801161,2.424981743,2.669657249,1.639673251,0.090626148,0.132036011,3.369413725,1.691131557,0.777,1.213,1.757,1.82,1.959,0.715,1.774,1.723,0.218,1.784,0.902,1.757,1
0,1.020408163,1.234567901,0,0,0,0.476190476,0.512820513,0,0,0,3.076923077,0,0,0,0,0,3.703703704,0,0,2.857142857,0,0,0,0,0.793650794,0,0,0,0,0,0,0,1.19047619,0.596745742,0.268128777,0.23301499,0.633688775,0.777284434,0.30680235,0.255150318,0.167224627,0.170167601,0.433836115,0.720467584,2.194469429,0.491769672,0.103078033,0.292693647,0.22996072,0.370484408,0.449174746,0.198034715,1.173242881,0.265924422,0.200347526,0.12831705,0.314978419,0.276512122,0.172545175,0.291040973,0.276035077,0.535323962,0.857863457,0.351531507,0.472613988,0.814697935,0.27418904,1.37037902,0.260277769,0.398976986,1.73,1.112,1.736,1.768,1.606,0.741,1.54,1.8,1.359,1.789,1.853,1.658,1
0.06385696,0.175336061,0.166666667,0.078125,0.265060241,0.421052632,0.062774639,0.11155734,0.043478261,0.065876153,0.12,0.072289157,0.107758621,0.380952381,0.171428571,0,0.211864407,0.075757576,0.069180214,0,0.044365572,0.129032258,0.207039337,0.22675737,0.102722137,0,0.357142857,0.15625,0.130958617,0,0,0,0.122523994,0.228571429,1.715133458,1.881325114,1.812023062,1.934231426,0.696481696,2.377589175,1.715698919,1.57386348,1.364563543,2.937433105,3.741635551,0.39115341,2.909740935,2.380860093,0.345230788,1.93539642,2.209624011,3.604780532,1.134729862,0.836373904,1.505342043,1.587799429,1.644356862,0.609105873,3.336656066,1.36272735,2.886175579,1.798721689,0.55769336,3.680632647,2.781046894,2.641512414,2.165407873,0.498390998,0.353900059,3.491017981,2.689739596,0.758,1.072,1.824,1.84,2.17,0.68,1.846,1.749,0.445,1.816,0.915,1.721,1
